hash_number_A,cost,cost_refill,expense,income_minutes,outcome_minutes,income_ratio,voda_minutes,nonvoda_minutes,voda_ratio,nonvoda_sms,voda_sms,inet_mb,neg_internet,neg_voda_minutes,neg_nonvoda_minutes,neg_income_minutes,neg_out_minutes,long_calls,mid_calls,heavy_inet
148752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149342,0.0,0.0,0.0,215.866666666,456.0,0.3212939075206601,665.5833333326,6.283333333400001,0.9906479460209272,0.0,12.0,0.04296875,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
149749,177.903,91.0,86.90299999999998,1379.5500000005989,705.0,0.6617975102541089,2037.9500000005953,46.60000000000001,0.9776450552877184,1.0,38.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
149854,53.31760000000001,20.0,33.31760000000001,327.53333333410006,2128.0,0.1333858224964018,2454.5333333341,1.0,0.999592756495534,0.0,56.0,56.48081111950001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
149996,282.7232,136.74,145.98319999999995,504.6833333317003,861.2833333333,0.3694697283967271,1289.9166666648994,33.5500000001,0.9746499093289274,1.0,127.0,0.0263671875,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
150964,112.5099,80.01,32.4999,1290.2166666659007,180.0,0.8775690657838909,1291.7333333329007,178.06666666630005,0.8788497301221956,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151137,35.9999,15.0,20.9999,62.53333333370001,15.0,0.8065348237326433,53.80000000020001,23.733333333500003,0.6938950988814991,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
151380,405.7338,205.75,199.9838,2776.000000000301,3523.0,0.4407048737895171,5874.5833333341025,378.33333333280024,0.9394949023789774,50.0,446.0,6562.628231073207,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
151558,396.5396,213.15,183.38959999999997,846.7999999995993,1070.0,0.4417779632720035,1844.6833333328007,60.1166666669,0.9684393812122484,4.0,174.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
152198,80.94,32.94,48.0,187.5833333325,102.0,0.6477697841716483,272.93333333249984,16.65,0.9425035971221368,0.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
152227,174.03960000000004,99.03,75.00960000000003,215.29999999969985,164.0,0.5676245715788828,337.2166666663002,39.8166666667,0.8943948368842671,2.0,4.0,0.15946865089999998,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
152269,270.9961,138.5,132.49609999999996,180.4166666667,575.0,0.2388306674021296,740.5499999999997,13.833333333299999,0.9816627267304856,2.0,74.0,15402.684224160892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
152437,0.0,0.0,0.0,0.6166666667,0.0,1.0,0.6166666667,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
152459,127.0088,78.0,49.00880000000001,1964.1666666670997,3297.0,0.3733329109513615,5153.000000000299,108.16666666679998,0.9794405550099552,1.0,29.0,0.0029354095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152529,336.1005,190.5,145.6005,441.70000000039977,377.0,0.5395138634422671,763.1666666671001,30.3,0.9618131406486514,1.0,32.0,129.62488937369994,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
152621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152754,137.498,47.5,89.99799999999998,105.08333333280001,170.0,0.38200545289186455,274.0833333328,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152932,181.9814999999998,0.0,181.9814999999998,854.8000000006003,754.0,0.5313276976630291,1599.7500000005994,8.9,0.9944674105616532,0.0,73.0,663.1003580115006,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
153093,175.60619999999992,90.11,85.49619999999993,1541.6333333308999,617.0,0.7141710032579122,2119.1999999980003,38.3499999995,0.9822252091494776,4.0,48.0,89.81882381439999,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
153166,318.9655,139.0,179.96549999999996,898.5500000008,3791.4666666666,0.1915878053028936,4373.916666667703,52.9833333333,0.9880315043634852,8.0,143.0,448.5409669882001,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
153200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153501,114.0,58.0,56.0,268.9166666676,1377.0,0.16338413244946431,1595.5666666676004,50.35,0.9694091438408357,12.0,46.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
153597,15.9947,0.0,15.9947,2.5,194.0,0.012722646310432571,115.2666666666,81.2333333334,0.5865988125526718,7.0,16.0,12006.263617503497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
153893,310.48819999999995,167.0,143.48819999999995,812.7333333323993,1148.0,0.4145047771239263,1655.3499999990015,304.3833333334001,0.8446812491494363,10.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153997,196.0782,100.0,96.07819999999998,727.8166666662997,1993.6166666667002,0.2674387271412328,2615.1333333327993,102.8833333335,0.9621476444220304,3.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154081,26.498,0.0,26.498,154.18333333309997,24.0,0.8653072677951654,166.56666666639998,5.6166666667000005,0.9673797309067412,0.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
154083,119.9997,60.0,59.99969999999999,367.3166666676999,742.0,0.3311197584104549,1095.1000000007007,4.0,0.9963606587207738,0.0,7.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
154194,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,262.24212932520004,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
154249,24.0,20.0,4.0,1241.3000000018992,156.0,0.8883561153654992,1386.3333333351995,5.2666666666,0.9962153875635288,0.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
