"num_a","cost","call_min","data_mb","accum"
171195,520.9729,4026.3666666656,1106.9170217593,68611
171637,133.5,509.4333333333,0,29680
171902,0,2.3666666666,0,0
172162,976.4855,958.1499999994,19155.461858788,233569
172183,305.4978,15694.2000000038,6342.8700723678,50319
172519,254.6901,127.5333333331,0,29764
173004,38.9913,530.9499999989,798.8927059195,126229
173029,471.4988,5149.0833333291,0,47035
173288,349.9989,283.8166666666,0,924
173366,359.9967,1637.5000000002,3424.5666723306,49426
173437,857.1916,2959.9166666671,184.4122829442,42308
173574,800.7829,1082.4833333335,5510.7436065699,170699
173781,4.1388,1880.2999999984,0,1102
173953,11.5,766.1333333342,0,14157
173986,0,7.45,0,0
174055,39.9989,1365.5333333335,0.2534580231,1227
300179,641.6553,2561.0166666656,4045.6504011238,82013
316821,882.9132,3620.1999999982,2121.0441904075,171783
325089,286.9894,1290.616666667,453.3210201264,277799
351667,1030.507,1296.4666666665,2822.5380325315,286244
359807,112.2458,900.9333333343,0,7571
367718,870.1188,2219.6499999989,0,4690
422661,474.9988,1311.3333333318,326.3678178798,47254
500707,848.8323,12284.7500000033,2992.8866615289,202033
512986,288.0624,1533.5666666679,1208.6427049624,524208
633842,282.9999,1647.9166666695,3284.7237834922,304129
1599261,255.9968,490.4333333324,0,6717
1600789,1281.9976,3012.5333333355,8458.2293529788,70907
1600869,645.425,379.8999999995,4219.0939254812,48332
1600988,440,1544.1000000012,0,0
1601393,0,0,0,0
1601991,147.9975,4346.6000000029,0,118611
1602104,205.1926,6940.6666666657,1129.2131614654,29240
1602108,244.7192,2804.2333333339,0.1464738842,46974
1605654,335.7467,3664.8,1187.7849054286,147692
1605752,174.9888,1084.2666666664,0.0757932664,14053
1605757,472.9987,3200.1833333337,0.0001831056,2766
1606208,710.4,1351.9666666683,0,40950
1606251,1014.937,4294.4166666665,844.2788467415,65595
1606387,183.3931,6250.4500000026,86.9873895645,18726
1606507,400.1826,3156.9500000012,3740.0582084745,161722
1606571,121.8259,2611.3000000003,0.6651649477,140569
1607539,0,4918.4999999986,0.001115799,864
1610169,3,2227.0666666672,0,21216
1622639,229.8003,1619.3333333374,0,46413
1624720,50,159.8833333327,0,8525
1624783,226.2645,1323.1666666675,1318.8298273102,129812
1624787,168.7499,2896.3166666683,0,294574
1626226,326.7045,940.1833333347,0.00461483,59527
1626301,118.0251,2311.8333333347,0,246497
1653806,25.3443,2459.6166666665,1004.7001657479,551
1653972,94.9944,738.8333333352,0,2695
1654029,359.9874,5231.7833333342,0,18680
1654043,178.4812,2856.7000000003,1.1561307907,22821
1654208,0,1563.7500000005,258.3722801209,0
1654288,436.6997,1856.7500000006,97.3631448748,146438
1654728,36,1151.483333336,0,9540
1654835,71.8876,86.1333333337,0,0
1654840,235.5,886.3833333336,0,26794
1655319,488.4707,923.2000000008,1154.1392536157,5964
1655696,0,5524.0833333305,0,3933
1655709,257.9678,1103.3666666666,0,28182
1655710,0,4131.0333333336,1059.6095638238,36624
1656133,4646.8937,7440.7999999989,0,14668
1656159,398.5132,18029.8666666617,1.6233606339,2413465
1656174,30,2127.8499999989,0,8190
1657423,60.0001,160.850000001,0,0
1657988,96.3001,1523.7166666682,0,128820
1658217,0,1.8166666666,0,0
1658500,171.7875,6374.6000000038,0,377340
1658749,1018.2257,2511.6999999989,190.6675481801,171162
1658991,0,70.6333333335,0,0
1659099,0,238.3499999994,0,0
1660056,9.97,95.1333333335,0,0
1660262,339.4948,3995.4666666638,0,21360
1660287,5748.4966,6118.4666666645,1803.3301620476,302949
1661682,0,3452.4833333323,0.0666131974,24912
1662632,0,2392.833333332,0,0
1662636,89.6995,1416.4333333336,0,0
1663710,104.4999,346.9833333336,0,618
1664061,88,747.5166666666,0,18176
1664346,288.5,906.5833333345,0,33978
1665364,376.9933,2640.5000000002,243.6723680491,176873
1665425,141.9986,2282.0999999982,0,4601
1665527,612.7943,3102.1499999999,2142.6299018829,57435
1667000,180.9997,545.8166666669,0,9152
1667298,229.9997,2854.0166666685,2095.7093086296,94331
1667478,106,790.1833333349,0,15900
1667693,720.5001,598.6666666665,0,2772
1667905,501.9988,1247.5166666673,0,22932
1667959,283.1946,1707.9166666664,305.99173069,24003
1668572,179.9997,1006.6500000007,307.502631184,84831
1669037,239.9967,1688.6000000006,1617.9442720405,79641
1669096,85.0088,146.4000000005,0.0004272461,5818
1669169,18.9978,2913.2500000008,0,1854
1669292,190.178,6153.5500000004,539.1502552014,141021
1669859,307.9987,142.816666667,10.6846189499,3761
1670316,413.4861,3262.6166666649,3527.622560502,141233
1670688,234.9997,610.3999999994,0,7854
1672089,132.2,795.1666666653,0,107160
1672115,681.9041,2127.0833333335,213.387937544,438098
1672172,230.5,1799.9666666635,0,6050
1672453,0,5486.4833333353,0,1545
1672669,585.3558,2641.1000000008,0,32574
1673215,135.94,3018.8333333343,0,38210
1673350,282.9963,264.7833333336,0,4635
1673572,287.9969,509.3499999996,0,4242
1673782,0,1457.9166666665,0,3632
1673906,512.0488,1879.4833333358,0,40785
1673909,237.7178,5940.9333333341,215.7773580555,24570
1674270,237.4946,2423.2,2100.8478107415,274824
1675009,184.9997,2199.499999999,1823.6066036218,102693
1675363,269.997,1272.2499999995,39.7334899905,26361
1675596,1141.3402,4757.1666666669,41128.4387768875,278352
1675941,486.4988,9007.6666666685,0,26715
1675998,389.2885,2015.7666666664,1510.6692953141,79183
1676160,0,3701.0166666675,115.3989610669,201106
1676171,382.9967,757.5999999997,0.0292015076,6644
1676266,0.9999,3961.0166666649,0,2781
1676349,206.4876,973.0333333335,0,169860
1676405,200.6654,1311.5833333337,2610.3519039,190798
1676484,0,1784.0666666669,0,3399
1676640,100,1175.9833333353,0,13250
1676791,144.2964,2661.666666669,3.5834970474,241020
1677024,584,1113.7500000002,0,25572
1677159,289.9977,3653.2499999986,0,2067
1677411,430.3542,4732.8,2023.3256196981,97792
1677493,95.5,828.7,0,11763
1677565,166.9122,2856.5166666678,0,2855
1677607,112.8001,2503.2333333336,0,210864
1677653,273.9963,1091.5999999994,0.4329509735,222780
1677852,0,138.1833333334,2877.6510095629,31203
1677868,65.3987,117.566666667,0,6942
1677949,399.9931,2727.983333333,3.7089195251,32876
1678179,20.08,902.0333333347,0,37713
1678462,554.4335,4529.3666666655,475.6921348567,184606
1678721,0,55.483333333,3171.5351839114,0
1678976,465.1899,8838.8666666677,0,42465
1679137,155.1425,1563.1499999996,0,6006
1679169,340.8196,5819.483333335,1214.0117931403,62355
1679251,0,2590.3000000002,26700.3962688042,310456
1679331,50,246.4666666666,0,0
1679564,61.4979,3237.4833333326,0,5380
1680142,357.4968,2289.0333333342,0,10731
1680240,21.9988,4977.0500000032,0,3228
1680250,206.0117,1135.0666666665,0,58374
1680285,139.3875,2992.4500000006,0,115710
1680368,489.9714,2808.4999999977,22984.168209097,71073
1680428,720,2738.5833333332,0,4233
1680547,398.9881,746.9833333334,0,68400
1680717,360.4651,897.3333333345,0,19130
1680963,472.2338,4886.299999999,0,678199
1680985,199.3393,1137.483333334,1568.1522426705,225093
1681009,389.5267,2474.2000000035,344.9330387162,121212
1681413,257.5477,3014.7500000036,463.4736938475,55732
1681480,409.9988,1092.5500000004,19.5817689895,12462
1681575,594.977,3310.5666666652,7520.3695488065,652391
1681599,94.25,316.0833333332,0,44540
1681622,249.7442,2337.7500000003,0,27362
1681775,145.9978,230.6333333328,0,1769
1681813,324.4966,834.5333333342,465.5811023706,2810
1681823,222.9997,9781.2499999932,0,370
1681908,7.4999,724.9166666662,0,550
1681984,49.15,305.2666666667,0,8190
1682935,301.3807,2375.9333333353,0,6805
1773072,486.5605,2600.9833333335,479.3482065246,18747
1773114,94.9989,0,0,0
1773164,126.3875,564.9166666661,0,92910
1773214,5.35,725.2833333335,0,0
1773339,414.1987,4625.4500000022,2653.1091404029,101657
1773371,585.3652,3620.9833333353,45.7774715419,28914
1773494,608.4552,5307.9833333324,10831.6245308051,247798
1773535,278.5963,384.4166666662,0,3090
1773608,64.6876,248.0833333334,0,17586
1773636,529.4965,6536.5999999993,0,6006
1773721,262.5,2761.5833333314,0,30624
1773723,353.6667,3248.9333333299,7557.5843477163,79758
1773772,547.9954,4355.2166666678,0,2541
1773773,316.4966,1681.1499999996,1344.7766923856,36226
1774003,457.9946,2851.2833333337,8302.285201105,298864
1774006,488.7883,2593.633333333,0,19659
1774106,419.6345,1405.5666666658,11178.175212859,354048
1774112,344.9879,2292.7999999985,9584.492444061,37165
1774115,270.9999,4195.516666664,0,44520
1774134,139.998,533.0333333331,0,5423
1774183,522.7072,2982.7999999992,62.8904972076,58571
1774220,0,3291.0166666664,3.2118072517,68817
1774224,0,878.7833333339,1469.6163978607,21274
1774242,1368.9167,8732.1833333345,46847.9860601363,557330
1774399,543.86,3205.4500000005,5138.768353462,192674
1774426,344.2897,956.5166666671,75.0840539934,16347
1774479,267.4978,61.5833333332,0,5655
1774606,239.9967,6796.3166666699,0,3178
1774607,181.0528,249.716666667,55.7888660432,25110
1774627,497.9938,2476.2666666677,655.3757438668,103544
1774636,620.7799,1535.5333333331,0,71079
1774670,334.9967,103.7666666671,421.0533008532,3354
1774679,108.9791,434.7833333334,0,8544
1774680,263.5833,3755.483333332,154.6367778776,36937
1774796,80.4585,3767.0999999998,602.6772232056,127666
1774858,266.4956,2183.6833333329,0,17088
1774891,393.5878,63.4833333333,620.2043142234,21175
1774913,5.0044,1.7666666667,0.0734100342,525
1774918,0,5345.5500000018,0,48048
1774923,353.4927,4826.8000000044,3105.4625530223,291180
1775018,0,5361.9666666655,0,1461
1775033,0,4614.8833333328,0,1545
1775059,622.9127,1746.2166666676,1068.0023880009,223647
1775154,26.0044,554.4999999987,0,551
1775171,5.25,1131.6500000001,0,0
1775177,356.2999,654.6500000001,0,34601
1775213,802.8036,2334.0833333345,58.5683250431,437609
1775235,13,1173.8,0,550
1775246,372.692,3277.483333333,8025.8598575501,132931
1775277,451.9922,4315.0333333345,0.0609760284,25955
1775385,306.717,3523.5833333341,0,9270
1775407,104,173.9333333334,0,16225
1775421,209.4192,762.7333333342,72.4037542342,3242
1775559,188.95,1163.766666667,0,141930
1775632,10.9886,2855.7500000001,0,4326
1775685,284.4967,2354.7500000005,15.0670366283,77222
1775714,349.996,1082.9666666682,0,16842
1775754,0,2596.4500000005,0.0941257477,5924
1775774,350.1631,2182.933333333,68.9994831084,26480
1775838,139.9997,510.4499999999,0,4620
1775884,153.4875,2277.883333332,0,440610
1775949,362.9963,8585.0166666683,2887.6766014059,262584
1775987,185.9989,2407.2500000011,0.3008546829,15944
1776043,0,1143.4166666662,0,4944
1776071,371.3367,3072.7166666643,195.9645948408,27785
1776164,3.5,4.6333333333,0,0
1776204,367.2456,3742.250000001,10455.7859602039,169727
1776233,118.8799,4255.466666666,2698.3326024869,12838
1776294,193.239,2267.5666666667,0,4272
1776308,306.9933,657.8833333326,0,28956
1776474,47,698.4500000004,0,0
1776548,480.3746,6688.4500000019,1.6722412109,861795
1776608,297.9967,1732.4500000006,243.2916641239,18656
1776629,246.2269,955.0333333334,0,10980
1776775,17.2632,1874.9999999993,221.3064155578,1653
1776828,760,2544.7166666655,0,0
1776848,868.4928,3236.8833333323,4016.131402967,159408
1776867,577.9962,6682.2833333343,0,20832
1776918,98.65,595.6333333329,5.7891530987,0
1777003,199,1149.4999999958,0,23850
1777040,183.491,373.0499999999,0.1973342896,5696
1777086,258.6,116.1166666668,0,14325
1777102,79.5308,711.3333333342,57.3302049641,31482
1777138,152.4106,1335.699999999,0,1713
1777156,275.9967,1988.183333333,2766.843374255,179930
1777157,176.9451,3866.2166666658,0,31715
1777177,960.0193,813.0666666656,5120.7329568926,221232
1777197,341.0092,1821.1833333335,0,123750
1777198,20,749.1333333336,0,26950
1777224,49.9999,3964.8999999973,0,15484
1777244,367.7782,5027.3833333319,0,18474
1777315,335.7879,1637.0833333337,0,214890
1777329,190.625,4234.4499999991,0,184764
1777359,254.9957,3881.0833333346,2297.3410387057,209307
1777403,15.5004,4219.716666666,0,114452
1777429,169.9979,323.0166666668,1530.906975758,21385
1777433,1.5,2501.6833333331,0,43033
1777466,54,4324.1000000009,0,51090
1777541,527.67,5660.2833333353,0,76902
1777580,204.9953,1545.5166666671,0,9201
1777581,287.9961,1423.416666667,522.7733354559,67879
1777623,273.2464,4201.0666666647,0,9633
1777633,75.2435,77.3833333335,0,3204
1777636,479.9925,4187.3333333337,3617.1254930468,77207
1777642,235.2379,267.0833333336,0,10122
1777651,219.9967,98.1666666664,209.7060222628,161078
1777693,215.9987,2527.7333333343,106.9200382229,10917
1777694,255.9962,2004.1666666654,463.6386365898,12917
1777752,209.9997,2034.2499999977,0,0
1777755,13.9997,2191.2000000028,296.9186983097,55102
1777758,100.5,1117.516666667,0,12187
1777762,321.5623,1147.9833333326,1020.7432985307,40617
1778058,432.9433,1683.5166666646,0,35738
1778613,34.8,841.3833333342,0.001953125,39072
1778985,231.6077,5590.799999999,2778.3603973378,218878
1779292,127.4,2140.5666666672,0,262200
1779416,97.87,218.3499999998,0,11616
1779473,346.9948,691.4500000016,0,19942
1779512,0,3449.6666666668,0,456
1779556,501.7444,2464.7833333329,7764.2312192905,77082
1779560,376.4967,6133.4166666664,10810.1323966967,538200
1779570,130.997,422.1666666662,0,11091
1779652,140.5001,2476.2333333362,0,51688
1779926,214.9997,1046.9833333338,0,2955
1779931,219.9978,1415.2166666656,313.0829725262,103763
1780051,329.9703,3329.3833333325,0,20934
1780148,133.1875,2166.0166666667,0,211470
1780182,265.3593,3441.9500000024,0,25824
1780195,219.9975,3721.700000004,0,24540
1780252,115.4976,770.9666666688,0.0046930313,12402
1780604,359.9967,11030.916666676,52891.9784765205,373174
1780607,0,3418.9166666674,0,924
1780658,233.2416,789.6666666663,317.2939062125,18692
1780682,559.7497,2241.1833333326,0,321834
1780689,712.2243,3796.4333333369,0.0001335144,10089
1781328,38,1806.9333333333,0,45045
1781694,12.8,2665.9999999998,0,0
1782176,49.9968,126.4166666668,3.05176e-05,1421
1782895,406.4438,5044.3333333328,550.6465978623,77985
1782953,211.9967,2496.7166666684,779.5689935677,54902
1782980,416.9978,766.0333333328,0,17622
1783012,876.9877,9479.3833333321,2737.7696990943,292349
1783128,372.9967,6026.8333333326,3610.3583145082,128134
1783187,342.9902,2540.2166666665,14.3124094008,29242
1783210,63.5,145.2499999998,0,5506
1783274,9.7544,141.4833333333,0.0001411438,551
1783364,284.997,375.9333333335,0,2781
1783383,281.9703,2265.5166666648,0,13806
1783430,288.2475,3147.5833333365,0,2056
1783561,697.0238,2270.0833333331,1838.2508268377,422167
1783588,484.0303,7594.3500000011,0.0976982117,47772
1783658,349.1287,1380.1666666665,0,17020
1783826,190.4096,5215.7333333352,0,4600
1784080,668.0476,2624.1666666668,0,448590
1784263,1.9998,1.0333333333,0,538
1784328,118,1699.416666665,0,4563
1784417,266.9955,1783.2666666672,0.0004577637,15788
1784695,77.5,2707.7833333321,0,11660
1784739,486.493,677.1333333332,11096.4133176137,77176
1784843,22,4276.4166666671,0,4789
1784877,6,13.0666666668,0,1638
1784925,165.6876,5022.5333333333,0,312360
1784994,0,2787.8666666651,6384.0394582748,569831
1785129,136.3919,4255.6000000009,0.1392688751,340815
1785145,410.6957,4948.8000000009,4210.3737630834,317545
1785225,174.5414,1098.3000000009,526.2106637982,240234
1785235,44.999,1490.2833333327,1329.544207573,238906
1785269,245.4967,1591.0999999999,2253.1792287866,234982
1785331,378.6296,2212.3333333329,3595.210741994,133036
1785440,1.7489,276.0666666672,0,3562
1785454,643.0783,4969.7166666663,0,1047660
1785507,773.5051,462.1666666659,13536.9468641237,174244
1785515,146.9939,644.0999999996,0.1279220581,15986
1785521,618.8672,7890.5499999989,391.7198286033,42161
1785546,206.85,121.9,0,52143
1785762,473.6602,6602.7833333315,110.9305143351,70749
1785769,518.1343,9004.7166666632,249.7986888882,889298
1785803,265.1881,2692.9833333348,0.1767578125,484500
1785809,127.9636,1693.5333333327,0,16808
1785868,273.9975,3057.033333331,26.9032478336,9655
1785887,947.3988,10712.9166666638,0,172917
1785975,0,2288.4833333323,1765.1150321853,568038
1786102,605.9853,1808.7666666626,166.1786594394,41240
1786188,304.7243,1316.3833333339,6.7546749116,26095
1786333,323.4923,2560.5499999983,702.9515581135,2112
1786540,553.9425,3006.0166666684,9256.1776084862,149659
1786548,269.9,1840.4166666664,0,143640
1786562,0,384.8666666654,0,0
1786766,143.8378,1284.5166666674,0,279300
1786814,45.39,9122.7166666667,0,52260
1786886,244.0191,2847.0833333319,0,206910
1786972,260,720.9500000006,0,28251
1786975,861.9959,1386.0833333326,2883.2923316949,454107
1787130,264.365,633.2500000003,39.500775337,23371
1787272,394.3868,472.6333333334,187.7502031321,49566
1787347,12.95,650.3333333342,1418.6106424373,0
1787372,2.9999,651.4,301.0766458515,10073
1787523,211.2558,4458.1999999993,308.8651561737,543975
1787541,172.8686,1922.133333332,0,7931
1787649,428.9965,1876.4333333329,0,2648
1787716,29.998,2961.2500000002,3870.334124573,148793
1787758,867.4857,1296.9166666666,2199.7746705976,115500
1787867,632.493,4457.6166666669,3186.8381948487,846896
1787905,199.9987,4569.6833333348,0,3660
1788035,373.9945,6597.9166666672,0,25923
1788145,1453.881,5299.5166666667,8866.3439474625,382017
1788186,707.8876,5186.0833333338,6426.826808941,469610
1788193,194.3045,1975.7166666655,15.0516614917,189615
1788207,246.0467,5900.0166666652,0,5094
1788243,417.9808,1014.7333333333,641.95474911,12321
1788344,78,148.9166666674,0,0
1788487,121.2999,782.433333333,136.875056267,29294
1788492,466.7989,245.3500000002,0,1386
1788564,15.9912,424.9833333337,0,5184
1788625,624.4397,2680.3666666674,3386.8996429439,142297
1788703,227.4767,1469.7166666671,73.24936676,12218
1788714,161.1875,2735.6166666652,0,427458
1788725,394.4875,2250.5833333331,38.7409305588,650626
1788811,480.4997,325.4333333338,0,9540
1788879,328.9973,3142.5666666694,292.407823566,248523
1788949,329.9883,884.6,0,6180
1788954,107.9789,1065.0999999987,0,10241
1788958,891.4472,3577.316666667,9768.5631046331,449311
1789105,345.6892,8500.3333333352,0,234404
1789264,0,13.6666666666,0,0
1789270,118.55,305.5666666664,0,22737
1789451,1315.9915,2393.9499999991,25218.4378279085,205036
1789452,575.8854,5834.0666666688,0.0324745178,29307
1789495,717.5425,4812.3000000021,0,599640
1789516,351.0418,1742.883333332,167.3732957837,22390
1789543,350.4823,1485.8333333336,927.9448566375,69136
1789590,65,147.2666666672,0,4950
1789597,310.2254,5952.2666666698,4.82773304,230969
1789661,97.2,1356.7000000032,0,5392
1789710,631.4892,5914.000000003,5152.4793233717,299995
1789818,59.9993,240.3333333336,0,3738
1789834,41.5845,243.9833333338,0,3512
1789914,286.9935,2125.7833333334,201.3896436683,39107
1789935,2101.9905,3765.1666666673,12341.9161234005,226687
1789971,206.2465,120.5999999998,2373.0106105713,79952
1790070,15,1655.766666669,0,0
1790077,42.4979,239.3999999998,0,4842
1790094,307.9953,10684.5666666666,0,3464
1790126,291.3478,1399.8500000004,0,1377
1790221,259.4945,2084.633333332,297.9582757941,142488
1790337,328.8983,3223.0000000007,0,247380
1790357,343.9233,1355.9499999985,1.5096225739,33981
1790366,235.3877,196.3666666666,0,27420
1790412,310.9967,5968.9500000005,259.0569772681,7182
1790494,98.9875,775.9333333339,0,115140
1790563,457.999,2236.6999999981,0,5016
1790617,187.9498,1076.9999999994,16295.8383483785,236799
1790644,365.3897,880.5,0,33390
1790697,341.996,2780.2333333318,630.1751346679,1446007
1790896,254.9942,4229.4500000013,162.9149751656,176881
1790958,249.4987,810.1499999998,0,4232
1790997,465.9967,696.5499999999,2973.9000520686,148622
1791028,239.4949,3842.0333333326,0,6942
1791083,214.4976,4633.2666666652,1478.9337253523,318970
1791225,411.5499,1103.1833333333,0,48833
1791231,420.4191,1577.5499999983,0,18480
1791273,0,2315.9833333324,0,0
1791288,280.4956,3208.9666666658,0,890
1791313,0,3.5333333333,0,0
1791314,3.4997,34.5999999999,3.05176e-05,3027
1791334,220.4997,1892.35,0,3696
1791434,107.998,188.7166666666,0.7619142532,0
1791718,3.1875,0.3333333333,0,0
1791737,84.999,43.2166666668,0,0
1791772,0,3820.4166666668,7160.3717937441,180372
1791775,260.9975,3786.8833333356,0,1540
1791955,203.05,3473.2333333333,0,9880
1791972,477.9988,5432.7833333335,0,50906
1791989,54.9996,39.6,358.5279102338,12957
1792034,264.497,886.7499999978,0,1854
1792084,337.4484,796.8333333333,0,130530
1792443,127.7498,8154.5833333328,0,35072
1792925,447.9922,1429.6666666659,2344.4285859953,161451
1792959,314.5,4166.2666666683,138.6865968702,59587
1792963,352.1,594.7666666651,0,7893
1793059,296.3941,2962.1333333332,0,38982
1793318,236.9877,1382.8000000006,6.2490549086,30512
1793475,238.9948,1578.6333333337,0,4532
1793505,0,1463.966666666,0,1644
1793697,785.4836,13127.0333333332,13117.4590854689,206021
1793702,281.6243,1986.466666667,0,3708
1793716,328.9963,554.2833333339,0,15508
1793743,140,395.8666666664,0,18550
1793920,20.6498,312.3000000001,0,4978
1793963,0,1899.4333333336,0,31008
1793990,0,68.9333333332,0,0
1793993,150.9987,629.8499999994,0,3882
1794013,0,555.5666666672,0,0
1794117,225.0057,7725.3166666653,2298.0597133628,95100
1794143,6.5,1053.6833333339,0,40404
1794189,218.9997,1577.633333333,0.2189302445,4256
1794268,179.9997,1738.4999999991,833.2810697575,58399
1794318,657.65,1908.3166666677,0,130494
1794348,163.4978,179.0333333334,0,8902
1794480,457.9423,2341.6333333344,199.2421226512,19051
1794490,364.7467,6122.099999994,8129.181031224,68244
1794622,457.8403,2945.9999999986,329.489874841,661230
1794626,0,1005.2333333331,0.0175733566,5556
1794697,16.23,1126.616666668,0,1854
1794704,9.0002,2540.1333333364,0,68160
1794794,10,28.2333333332,0,1062
1794848,50.9974,135.5333333331,0,6994
1794911,264.9977,2739.849999998,2486.9100132185,65306
1794984,152.4422,2143.7833333338,0,2855
1795084,643.0196,798.9333333334,66.1494073871,1996138
1795142,393.15,2119.4000000008,0,49584
1795301,394.9957,1843.5999999991,13611.942679408,179062
1795384,301.9479,1093.5666666655,205.8624887462,21762
1795538,275.9877,3996.1333333356,0,501600
1795541,86.8952,834.8999999984,249.8805713661,38737
1795627,315.9971,1897.633333335,0,15754
1795637,467.2015,1309.9000000007,0,25507
1795685,741.9974,2498.1833333326,760.2586526891,41407
1796094,271.022,2561.4666666661,29.134832382,2954
1796178,44.9989,135.45,0,0
1796260,666.5604,5225.9166666698,0,29700
1796310,5.0044,7.6333333335,0.1101455686,525
1796352,54.2,304.6000000003,2303.5514516843,0
1796436,132.7279,5603.2166666672,1999.9489955858,65289
1796507,240.2259,2041.1166666669,312.4983901955,8841
1796781,228.4499,2308.5333333335,0,10849
1797023,0,2281.7499999992,0,7296
1797073,0,0.6666666667,0,0
1797138,151.1875,3933.883333333,0,648660
1797234,404.9529,3887.7333333334,0,25270
1797243,520.9978,5181.9833333329,0,0
1797317,190.4875,1337.4166666691,0,21090
1797321,206.2216,3345.4333333335,51.347885132,98480
1797323,6,257.8499999994,0,1375
1797343,209.9997,1265.0333333337,0,924
1797374,84.4943,681.9166666663,0,2156
1797425,189.9987,2004.9666666652,2105.1946907077,152634
1797461,215.4967,683.5833333334,0,11400
1797474,11,4052.4833333345,0,81780
1797480,497.2384,983.8499999982,0,2892
1797584,23.0007,2982.1999999993,0,122952
1798080,569.2494,3372.0666666667,9525.3103170435,689041
1798245,344.8969,7682.5499999979,0.007976532,1383870
1798270,198.4645,2946.0333333336,0.0004615784,302625
1798280,119.999,237.8333333336,0,534
1798297,106.6588,4853.4500000018,6.10352e-05,7146
1798335,235.2097,1852.9666666686,0.0017147064,1384
1798436,318.4963,2566.1000000019,272.5891571052,10146
1798445,435.6599,504.5499999999,0,850
1798509,601.9946,1476.2833333332,0,13690
1798779,272.239,843.8500000006,0,5484
1798842,8,2189.7999999982,1955.452053071,76561
1798843,81.5,224.8666666662,0,6325
1798997,231.7,1214.2833333329,0,95190
1799116,331.9736,1804.4833333348,0,12122
1799145,438.8,984.4166666679,0,65722
1799233,306.9776,8072.9500000004,0,9790
1799240,0,1647.3499999988,0,26332
1799271,719.999,890.4500000005,4.7954263687,11782
1799273,98.5,1590.1833333347,0,13771
1799281,250.5044,1920.3666666677,3.8147e-05,44172
1799324,20.4985,305.883333334,0,6456
1799604,211.5132,140.6333333337,10.304738998,9821
1799612,0,3743.7833333311,1482.1072435353,86914
1799635,684.211,1887.0833333326,387.2084703429,52331
1799811,0,52.1666666667,0,0
1799844,865.1768,5378.1666666679,7.2612161641,130510
1800104,569.9974,310.8333333339,56.8558969495,22143
1800148,70.9988,3776.2166666681,0.0002975464,7020
1800177,0,1549.1166666651,0,4620
1800186,477.194,3998.0666666663,1240.8663339641,92681
1800199,168.8876,906.7833333344,0,169860
1800213,760.4993,3127.4333333351,1290.9121494295,105937
1869576,505.3767,7458.750000003,6646.8752689271,274744
