"num_a","cost","call_min","data_mb","accum"
171195,107.4773,1335.983333333,43.431285858,14416
171637,38,141.8999999998,0,10070
171902,0,0,0,0
172162,104.9989,259.2666666662,8373.7040129154,44745
172183,98.9993,4611.7333333317,2100.3408193606,23350
172519,0,0,0,0
173029,471.4988,2490.4833333314,0,15355
173288,0,32.6666666665,0,462
173366,119.9989,621.050000001,278.9504003519,11663
173437,160.0003,1544.2333333347,93.3488836296,17312
173574,326.4929,314.5000000002,2218.461517342,75465
173781,0.88,512.5166666662,0,0
173953,0,351.3833333345,0,4368
173986,0,2.4333333333,0,0
174055,0,363.8833333335,0.2534580231,1227
300179,65.2265,692.0833333332,1753.9011764585,34741
316821,158.2136,537.6166666657,378.4579439161,114376
325089,204.9902,316.0500000003,144.9225826264,90457
351667,500.5016,430.9166666668,918.6048002243,92263
359807,0,0.4833333333,0,0
367718,863.1188,793.9166666662,0,586
422661,0,355.9499999996,78.7344055182,6920
500707,133.8527,4240.7666666667,573.5739746089,30409
512986,157,410.9499999997,355.5911750786,189832
633842,162.9999,576.9166666661,1240.3940753925,94695
1599261,106.9986,182.7500000001,0,2136
1600789,176.9998,940.6833333339,4832.839120874,34573
1600869,224.2125,150.7333333331,495.8381376275,13110
1600988,157,625.4000000002,0,0
1601393,0,0,0,0
1601991,7.6625,1368.1000000019,0,6303
1602104,120,2654.5666666656,1129.2131614654,29240
1602108,70.2314,961.2000000006,0.0322217942,14258
1605654,107.0089,1234.5666666669,306.6572113028,53182
1605752,83.9977,366.5833333328,0.0122327805,5131
1605757,0,1640.4166666675,9.15528e-05,1383
1606208,0,521.1166666677,0,14742
1606251,672.4849,1152.249999999,142.4456281666,42062
1606387,34.9999,2112.6333333345,55.7047367095,10143
1606507,128.6925,871.7833333338,667.9183349628,48097
1606571,26.4791,1048.9499999998,0.6651649477,48311
1607539,0,1610.9666666668,0.000538826,432
1610169,0,934.7666666676,0,6552
1622639,98.6,589.9333333356,0,12606
1624720,0,78.9499999999,0,7700
1624783,12.435,765.8666666665,1188.66721058,76503
1624787,23.0999,456.0000000003,0,50044
1626226,251.7045,671.4500000011,0.00461483,41191
1626301,8,0,0,0
1653806,12.3644,810.6666666662,354.2342624674,551
1653972,7.9956,264.8833333339,0,2156
1654029,256.4971,1459.9500000009,0,16544
1654043,103.2389,1236.6000000011,0.0050172806,18050
1654208,0,490.7500000004,94.7947549817,0
1654288,1.2446,522.0000000005,3.0163516994,65023
1654728,6,207.366666667,0,1590
1654835,23.2625,21.1166666667,0,0
1654840,78.5,322.45,0,8362
1655319,253.4916,154.7166666671,556.4141492801,1988
1655696,0,1869.8499999989,0,0
1655709,109.4166,399.9833333334,0,12474
1655710,0,1193.75,878.2285480451,13116
1656133,2084.8437,2313.5166666668,0,3860
1656159,141.6,6270.9666666635,0,840048
1656174,4,565.5166666679,0,1092
1657423,1,36.2666666668,0,0
1658217,0,1.0333333333,0,0
1658500,167.4625,2507.5500000018,0,158460
1658749,437.2275,1790.1666666653,146.1209106447,119983
1658991,0,12.6,0,0
1659099,0,71.3999999997,0,0
1660056,0,21.8666666667,0,0
1660262,181.4971,1326.1999999992,0,15486
1660287,1068.9986,1504.9333333333,542.4268169403,48372
1661682,0,1260.3333333321,0,9345
1662632,0,625.8000000008,0,0
1662636,7,559.6166666652,0,0
1663710,104.4999,111.6166666665,0,309
1664061,20,262.9833333333,0,5396
1664346,94,363.3833333339,0,11660
1665364,252.4966,825.8833333333,115.1789846413,140657
1665425,19.9999,1236.9500000005,0,924
1665527,119.9989,498.183333333,21.3085842139,8646
1667000,72.9999,306.8333333333,0,3792
1667298,74.9999,1043.3333333353,980.6039171292,32302
1667478,12,197.7000000014,0,3180
1667693,316.0001,113.5666666667,0,0
1667905,0,365.4500000005,0,0
1667959,93.9967,622.2833333336,218.7659978866,13357
1668572,69.9999,172.3999999997,1.0528697965,5071
1669037,79.9989,607.8833333327,1000.6520166394,37317
1669096,58.0088,26.0166666667,0.0004272461,2648
1669169,0,1181.250000001,0,0
1669292,44.999,2294.4666666673,500.6318159082,58545
1669859,84.9999,99.8500000003,10.6846189499,3227
1670316,162.4936,1234.183333334,1067.0126771936,44817
1670688,94.9999,144.4833333329,0,3234
1672089,0,140.9166666662,0,27360
1672115,506.479,799.3166666664,213.387937544,161648
1672172,217,983.7499999975,0,3300
1672453,0,1703.7833333345,0,927
1672669,318.2182,945.1166666675,0,12282
1673215,22.5,758.5833333337,0,10584
1673350,97.9985,82.4166666667,0,927
1673572,97.9989,187.8166666667,0,1152
