"hash_number_A","target"
149001,0.114
149147,0.19
149207,0.042
150624,0.044
151066,0.02
151834,0.004
152630,0.112
153019,0.008
153408,0.194
154363,0.054
154620,0.166
155060,0.058
155216,0.208
156456,0.076
156511,0.026
156515,0.016
158207,0.018
159287,0.06
160905,0.262
161928,0.164
162886,0.092
162930,0.122
165219,0.014
165500,0.242
165889,0.026
166638,0
166987,0.038
168037,0.018
168175,0.064
170184,0.002
170924,0.134
172162,0.012
174240,0.036
174331,0.034
175234,0.016
175634,0.026
176142,0.154
177360,0.19
179314,0.016
179764,0.106
180366,0.098
181629,0.158
182137,0.076
182163,0.2
182806,0.002
183453,0.02
184290,0.102
185010,0.16
185819,0.012
186098,0.176
187173,0.008
187335,0.034
187821,0.002
188351,0.014
189513,0.112
192059,0
193279,0.006
193964,0.014
196413,0.12
197366,0.066
198283,0.004
198516,0.062
198626,0.056
199097,0.008
199879,0.248
199995,0.11
200262,0
200367,0.172
201034,0.044
202211,0.078
202509,0.194
203353,0.044
203512,0.216
205013,0.01
205360,0.054
205795,0.146
205825,0.15
206747,0.016
206820,0
209844,0.014
209960,0.112
210156,0.106
210827,0.172
211040,0.02
211380,0.058
211727,0.014
213141,0.066
213967,0
215550,0.036
215920,0.034
216304,0.018
220017,0.018
221924,0.064
222042,0.126
222593,0.044
223536,0.024
226853,0.124
227927,0.016
229062,0.046
232351,0.018
232924,0.06
233022,0.046
233649,0
236143,0.024
237019,0.178
237632,0.082
238141,0.112
238197,0.25
239549,0.074
239618,0.02
240068,0.114
240181,0.154
243045,0.016
243817,0.104
248191,0.018
248837,0.21
251035,0.096
251485,0
251783,0.016
254670,0.148
255150,0.01
255992,0.146
256309,0.034
258039,0.034
258965,0.002
260101,0.094
261959,0.062
262980,0
263129,0.008
263615,0.112
265755,0.034
265931,0.056
265954,0.074
267387,0.056
268740,0.012
268803,0.04
269132,0.212
270624,0.024
270633,0.044
271210,0.016
271812,0.018
271872,0.026
272793,0.102
273655,0.006
274145,0.058
274431,0.014
275707,0.12
275787,0.004
276608,0.116
277572,0.01
278158,0.02
279522,0.206
281144,0.116
281563,0.02
282659,0.026
284039,0.002
285761,0.146
286061,0.02
288918,0.022
289046,0.032
289812,0.056
292490,0.23
293065,0.086
293272,0.244
293651,0.044
345530,0.066
389823,0
390566,0.194
391505,0.006
391664,0.02
393993,0.084
397856,0.042
401462,0.01
403754,0.082
405177,0.014
405338,0.014
405485,0.14
409300,0.064
410047,0.006
410533,0.028
411806,0
414503,0.024
418598,0.056
419192,0.258
420118,0.108
421708,0
422130,0.064
422401,0.184
424033,0.002
424120,0.04
424452,0.042
425045,0.006
426332,0.086
427127,0.002
427468,0.052
428631,0.116
428650,0.092
429529,0.094
430047,0.136
430060,0.14
430801,0.126
431290,0.006
432183,0.092
433555,0.178
434071,0.054
435341,0.004
435686,0.182
436162,0.004
438483,0.004
438621,0.14
439656,0.122
440215,0.064
440351,0.122
440726,0.098
441510,0.176
442900,0.002
443182,0.16
443970,0.022
443998,0.05
445396,0.01
447014,0.038
447189,0.216
449744,0.166
449809,0.188
451948,0.012
452178,0.022
453599,0.024
454150,0.014
454248,0.2
454342,0
456473,0.126
456558,0.126
457092,0.068
458079,0.106
458921,0.094
459249,0.152
459920,0.008
462104,0.016
465138,0.002
468009,0.002
470050,0.016
470281,0.248
474180,0.158
478399,0.018
483837,0.048
484037,0.024
485676,0.038
486247,0
487444,0.014
487499,0.152
488157,0
488179,0.184
489044,0.008
490120,0.034
490942,0.222
491856,0.02
493173,0.034
495203,0.006
496661,0.014
498862,0.012
504899,0.02
505051,0.074
505461,0.008
506547,0.044
506849,0.002
507399,0.006
509063,0.02
509104,0.042
510682,0.118
511157,0.01
511766,0.112
511813,0.014
512410,0.028
512624,0
514065,0.032
515417,0.084
516258,0.086
516624,0.098
517054,0.04
517822,0.074
518160,0.022
519523,0.218
519989,0.176
521005,0
523508,0.114
528637,0.044
528802,0.028
530157,0.006
531814,0
532328,0.098
533059,0
534989,0.04
535015,0.066
535699,0
535810,0
536419,0.022
536466,0.178
536559,0.028
538491,0
538874,0.172
539022,0.01
542457,0.058
542697,0.118
543485,0.054
544317,0
545890,0.02
547333,0.066
547734,0.054
548501,0.018
549375,0.052
550263,0.06
550350,0.024
552069,0.006
552206,0.116
552467,0.002
552541,0.038
552748,0.07
554973,0.192
554998,0.264
555543,0.006
555873,0.118
555943,0.086
556960,0.012
557078,0.166
557629,0.118
557795,0.022
558290,0.262
560059,0.102
561479,0.02
563319,0.004
564111,0.256
567077,0.012
571769,0.012
573413,0.012
576650,0.042
577822,0.044
579840,0.116
581171,0.002
581333,0.002
581449,0.118
581730,0
583836,0.032
584609,0.086
589502,0.04
590237,0.006
590673,0.016
597725,0.002
599830,0.046
602185,0.048
602966,0.048
611668,0.008
613502,0.014
613608,0.12
614317,0.022
614429,0.132
614431,0.056
614458,0.024
614550,0.118
615172,0.006
617848,0.036
618797,0.002
618843,0.02
620194,0.022
620411,0.008
621992,0.07
623131,0.024
623978,0.074
624628,0.006
624949,0.024
625361,0.058
625514,0.074
626456,0.148
627555,0.004
627826,0.022
628228,0.172
628698,0.058
629348,0.002
629952,0.004
630940,0.002
631393,0.158
633117,0.042
633447,0.126
634771,0.214
635002,0.01
635125,0.19
635129,0.096
636237,0.032
638524,0.038
639727,0.012
639801,0.272
640058,0.024
640424,0.158
641766,0.022
642920,0.024
643625,0
643740,0.054
644327,0.132
646050,0.112
647194,0.088
647841,0.066
648341,0.01
648415,0
648953,0.182
648980,0
652832,0.076
653139,0.076
653381,0.266
655234,0.074
655974,0.058
659597,0.016
659733,0.02
661135,0.072
661190,0.088
663583,0.026
663923,0.158
664443,0.024
668614,0.006
668634,0.03
670194,0.104
671169,0.18
673282,0.06
673353,0.13
677404,0.212
677913,0.012
679805,0.01
680553,0.002
680964,0.004
685041,0.332
688561,0.052
691947,0.008
692814,0.192
693795,0.016
693838,0.086
693977,0.16
694470,0.178
694626,0
695033,0.03
774111,0.014
775191,0.008
777023,0.008
779955,0.166
781546,0.032
781981,0.108
782837,0.168
785121,0.268
785126,0.206
785390,0.05
786499,0.176
786842,0.02
787646,0.016
787946,0.05
788160,0.082
788465,0.008
789779,0.158
790959,0.068
791178,0.13
793142,0.068
795470,0.13
796767,0.046
797455,0.012
799070,0.008
799760,0.16
800500,0.088
802165,0.038
803098,0.078
803619,0.032
805643,0.142
805906,0
808199,0.148
809961,0.278
810862,0.152
812937,0.016
813062,0.118
813591,0.064
814089,0.02
814882,0.008
814898,0.08
815023,0.032
815065,0.156
815436,0.08
816122,0.022
818063,0.104
819426,0
819459,0.242
820365,0
820565,0.048
821097,0.094
821808,0.022
824308,0.022
825027,0.02
825795,0.088
825828,0
826174,0.02
827285,0.126
827765,0.082
827887,0.04
828017,0.276
828101,0.01
828362,0.008
831794,0.066
831896,0.042
834054,0.052
837140,0.156
837375,0.056
838038,0.044
838523,0.086
841502,0.128
844045,0.06
846857,0
847402,0.046
848637,0.134
852461,0.024
853715,0.03
853943,0.31
854114,0.072
854291,0.05
857908,0.03
858760,0.006
859923,0.042
860267,0.062
861792,0.202
862233,0.078
863306,0.014
864277,0.036
865069,0.12
865080,0.026
867416,0.074
868908,0.098
869005,0.244
869546,0.198
870369,0.018
871568,0.036
875862,0.088
876338,0.104
877756,0.012
879742,0.02
881416,0.198
882435,0.088
883889,0.104
884307,0
885029,0.04
886572,0.074
887066,0.128
887657,0.016
888040,0.07
889569,0.024
891289,0.014
891468,0.024
892089,0.082
892895,0.02
894281,0.048
895295,0.168
896222,0.112
901250,0.098
901851,0.16
902533,0
903099,0.174
903938,0.09
904806,0.008
905459,0.018
905508,0.038
907485,0.038
908618,0.064
909655,0.026
909762,0.202
910200,0.018
911844,0.304
914289,0.008
917412,0.014
918265,0
921544,0.17
923393,0.004
923650,0.08
924248,0.09
924564,0.178
924910,0.024
926070,0.012
926483,0.15
926592,0.036
927078,0.132
927955,0.092
928452,0.078
930154,0.1
932258,0.004
933495,0.008
933775,0.034
934468,0.046
934513,0.038
935164,0.182
935677,0.118
936198,0.054
936437,0.01
936454,0.014
937193,0.126
937472,0.032
937580,0.04
938095,0.262
938160,0.018
938276,0.026
938682,0.13
939091,0.1
940339,0.13
940464,0.03
940857,0.076
940941,0.124
941006,0.15
942711,0.056
943756,0.17
945034,0.076
945860,0.242
946146,0.174
947087,0.032
947335,0.124
948212,0.196
948824,0.052
949436,0.012
949842,0.098
949946,0.274
950728,0.174
950958,0.05
951417,0.176
951725,0.048
951977,0.14
952185,0.072
953087,0.108
953236,0.268
954012,0.004
954655,0.008
954848,0.014
955282,0.144
956958,0.07
957303,0.028
957409,0.21
957589,0.008
957704,0.046
957862,0.028
959128,0.01
959938,0.278
960063,0.068
961264,0.144
961789,0.122
962860,0.016
962922,0.078
963165,0.048
963224,0.148
963242,0.042
963307,0.056
963373,0.124
964648,0.198
965148,0.106
965639,0.026
966373,0.04
966975,0.032
967146,0.002
967166,0.04
967502,0.072
969304,0.1
969783,0.218
969799,0.014
972661,0.02
973296,0.084
973386,0.024
974084,0.012
974711,0.01
976609,0.098
977466,0.062
979760,0
980916,0.29
981565,0.186
982444,0.002
982749,0.112
983767,0.052
986026,0.078
988295,0.044
988534,0.03
990360,0.012
990526,0.204
990940,0
991622,0.092
991729,0.042
992749,0.094
992917,0.004
993510,0.054
994527,0.226
994813,0.028
994819,0.056
994975,0.03
995682,0.002
996428,0.018
996475,0.154
996827,0.242
997334,0
997429,0.14
999490,0.104
1000671,0.034
1001243,0.174
1001682,0.106
1002029,0.02
1002958,0.038
1004450,0.068
1007159,0.046
1009144,0.034
1009786,0.036
1010257,0.074
1010946,0.014
1011639,0
1012277,0.274
1012718,0.15
1013372,0.042
1013536,0.164
1014513,0.062
1014636,0.186
1015476,0
1016113,0.016
1017853,0.01
1018824,0.062
1019271,0.018
1020424,0.022
1020504,0.02
1020547,0.038
1020788,0.014
1021086,0.152
1021732,0.042
1022314,0.266
1023511,0.096
1026507,0.09
1026524,0.062
1026692,0.044
1027175,0.238
1028185,0.154
1030494,0.028
1032475,0.056
1033111,0.03
1033432,0.086
1033435,0.004
1033751,0.012
1034069,0.198
1034269,0.316
1035462,0
1035473,0.09
1035578,0.178
1036140,0.038
1036493,0.016
1037146,0.002
1037907,0.254
